amenity	cuisine	takeaway	name
fast_food	burger;french	yes	Chez Ponpon
fast_food	burger		Friends & Fries
fast_food	burger		Frite'Nbleau
fast_food	burger		Friterie
fast_food	burger		Friterie Arrageoise
fast_food	burger;friterie	yes	Chri's Burger
fast_food	burger;frites;kebab	yes	Cappadoce
fast_food	burger;frites;sunday;nuggets	yes	McDonald's
fast_food	burger;friture;fast_food	yes	Le Diner's
fast_food	burger;friture		Friterie de la Poste
fast_food	burger;friture;sandwich		La Ch'ti Frite
fast_food	burger;friture;sandwich	yes	Friterie
fast_food	burger;friture;sandwich	yes	Frites & Co
fast_food	burger;friture;sandwich	yes	Le Rustique
fast_food	burger;friture	yes	À la Friterie des Ch'tis
fast_food	burger;friture	yes	La Rainette
fast_food	burger		Fun Burger
fast_food	burger		Gad Burger
fast_food	burger		G faim
fast_food	burger		Gigi
fast_food	burger		G La Dalle Argenteuil - Orgemont
fast_food	burger		G la Dalle Bezons
fast_food	burger		Good Baking
fast_food	burger		Grand Prix Burger
fast_food	burger		Grand Slam Burger
fast_food	burger		Greg and Jerry's
fast_food	burger		Grill House
fast_food	burger		Guy and Sons
fast_food	burger		Guy & Sons
fast_food	burger		Half Time
fast_food	burger;hal		G LA DALLE
fast_food	burger		Hank Burger
fast_food	burger		Hannibal
fast_food	burger		happy days
fast_food	burger		Harry's café
fast_food	burger		H Burger
fast_food	burger		H Burger Grill
fast_food	burger		HD Diner
fast_food	burger		Heroes Coffee
fast_food	burger		HFC
fast_food	burger		Holy Moly
fast_food	burger		Home Burgers
fast_food	burger		Home Made Burger
fast_food	burger;hotdog		La Popote
fast_food	burger;hot_dog;salad		Bar'Ouf
fast_food	burger;hot_dog;sandwich		Snack Tcheek Viouk
fast_food	burger;hot_dog;sandwich	yes	Les Délices de la Roche
fast_food	burger;hot_dog	yes	Roadside
fast_food	burger		Hot Line
fast_food	burger		House Burger
fast_food	burger		Hyperion
fast_food	burger;ice_cream;crepe;fish_and_chips;kebab;sandwich		Au P'tit Creux
fast_food	burger;ice_cream;pizza;regional		Une faim de Loup
fast_food	burger;ice_cream	yes	McDonald's
fast_food	burger		iFood
fast_food	burger		Imime
fast_food	burger		Independance Burger
fast_food	burger		Independence Burger
fast_food	burger		Independence Burger
fast_food	burger		Issy Fast Burger
fast_food	burger;italian_pizza		CHICAGO BURGER TAHITI
fast_food	burger;italian;pizza	only	Le Petit Galilée
fast_food	burger;italian	yes	Hamburgeria
fast_food	burger		IT Rocks
fast_food	burger		Jack's Express
fast_food	burger		Jack’s Express
fast_food	burger		Jean Burger
fast_food	burger		Jules et John
fast_food	burger		Jules&John
fast_food	burger		Kebab
fast_food	burger;kebab;american;mexican	yes	Mac Wilo
fast_food	burger;kebab		Caprice
fast_food	burger;kebab;chicken		Miami Food
fast_food	burger;kebab;french_tacos;chicken	yes	Burger Kebab
fast_food	burger;kebab;fried_chicken;chicken		King Coq
fast_food	burger;kebab		Friends
fast_food	burger;kebab;grill;sandwich;barbecue		Gangarko snack
fast_food	burger;kebab		Kebab & Co
fast_food	burger;kebab		La Fougassine
fast_food	burger;kebab		Lal's Time
fast_food	burger;kebab		La maison orientale
fast_food	burger;kebab		Le Kiosque
fast_food	burger;kebab		L'Escale
fast_food	burger;kebab		Maxim's Kebab
fast_food	burger;kebab;mexican		K&B House
fast_food	burger;kebab;mexican;pizza;sandwich	yes	M52
fast_food	burger;kebab		O'malo
fast_food	burger;kebab	only	Délice Kébab
fast_food	burger;kebab;pizza		Allo Pizza
fast_food	burger;kebab;pizza		Carré Food
fast_food	burger;kebab;pizza		Grill Instanbul
fast_food	burger;kebab;pizza		La Cigale
fast_food	burger;kebab;pizza;mexican		Royal Tacos
fast_food	burger;kebab;pizza		Pizza Hit
fast_food	burger;kebab;pizza		Snack des Auress
fast_food	burger;kebab;pizza	yes	Boom Burgers
fast_food	burger;kebab;pizza	yes	Magic Food
fast_food	burger;kebab		Resto Royal
fast_food	"burger,_kebab,_salades"	yes	Green Island
fast_food	burger;kebab;sandwich	yes	Bella Regia
fast_food	burger;kebab;sandwich	yes	Chez Tonton
fast_food	burger;kebab;sandwich	yes	Royal Kebab
fast_food	burger;kebab		So Food
